GOP,layer, Y-PSNR, bits
103,7,38.538,36697
103,8,40.015,43144
104,1,31.204,13126
104,2,32.216,7917
104,3,33.371,12194
104,4,34.635,16721
104,5,35.804,20491
104,6,37.218,27834
104,7,38.720,34340
104,8,40.168,39840
105,1,32.185,8228
105,2,33.093,4867
105,3,34.196,8159
105,4,35.432,11577
105,5,36.523,14758
105,6,37.806,20431
105,7,39.167,26276
105,8,40.521,32393
106,1,34.059,13018
106,2,34.650,5558
106,3,35.651,9413
106,4,36.731,12475
106,5,37.738,15347
106,6,38.766,19980
106,7,39.857,25173
106,8,41.044,30712
107,1,33.776,16072
107,2,34.390,6918
107,3,35.396,11090
107,4,36.489,14783
107,5,37.479,17857
107,6,38.491,23317
107,7,39.581,29359
107,8,40.778,36456
108,1,33.678,16241
108,2,34.270,6941
108,3,35.260,11259
108,4,36.326,15111
108,5,37.318,18635
108,6,38.333,24631
108,7,39.399,30633
108,8,40.609,39030
109,1,33.861,13212
109,2,34.443,5891
109,3,35.443,9853
109,4,36.471,13247
109,5,37.447,16654
109,6,38.460,21878
109,7,39.542,27507
109,8,40.687,34136
110,1,34.042,12172
110,2,34.651,5640
110,3,35.650,9112
110,4,36.709,11994
110,5,37.686,14873
110,6,38.704,19489
110,7,39.806,24415
110,8,40.965,29809
111,1,34.062,9802
111,2,34.669,4815
111,3,35.669,8116
111,4,36.728,10604
111,5,37.702,13207
111,6,38.753,17583
111,7,39.850,21647
111,8,40.983,26602
112,1,34.084,9130
112,2,34.708,4747
112,3,35.711,7515
112,4,36.755,9993
112,5,37.710,12501
112,6,38.746,16857
112,7,39.829,20869
112,8,40.955,25927
113,1,33.736,13065
113,2,34.349,5957
113,3,35.347,9752
113,4,36.413,13061
113,5,37.397,16044
113,6,38.442,21192
113,7,39.537,25998
113,8,40.695,32309
114,1,33.466,14602
114,2,34.083,6672
114,3,35.075,10593
114,4,36.168,14134
114,5,37.163,16944
114,6,38.213,22703
114,7,39.329,27918
114,8,40.488,34625
115,1,33.678,13887
115,2,34.302,6219
115,3,35.300,10063
115,4,36.384,13750
115,5,37.352,16845
